epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8553,1.06014,3.31056,1.33217,0.00478,0.94658,0.28141,0.19436,0.96211,3.55666,1.23714,0.00011,0.00011,0.00011
2,49.0324,1.00971,3.00486,1.32691,0.00589,0.94658,0.2905,0.18876,1.08117,3.5398,1.36507,0.000227154,0.000227154,0.000227154
3,70.8667,1.02489,2.59447,1.32026,0.94152,0.01852,0.33896,0.19419,1.23814,3.40021,1.47427,0.000341337,0.000341337,0.000341337
4,93.2685,1.0479,2.25368,1.33166,0.70109,0.10648,0.33927,0.22332,1.31461,3.2317,1.59179,0.000452551,0.000452551,0.000452551
5,113.643,1.15543,2.06491,1.35614,0.34734,0.27498,0.2608,0.16255,1.40382,3.20224,1.80434,0.000560795,0.000560795,0.000560795
6,133.999,1.06137,1.84174,1.32852,0.59436,0.19907,0.3252,0.20166,1.55108,2.99838,1.89263,0.000666069,0.000666069,0.000666069
7,154.704,1.01619,1.72889,1.30956,0.46275,0.47175,0.3568,0.21539,1.50025,2.75219,1.9748,0.000768373,0.000768373,0.000768373
8,175.955,1.06932,1.69761,1.33161,0.39588,0.5458,0.39061,0.22644,1.54489,3.26813,1.9169,0.000867706,0.000867706,0.000867706
9,195.38,1.06224,1.63444,1.29506,0.72532,0.31481,0.38542,0.20714,1.6761,3.54821,2.10064,0.000901,0.000901,0.000901
10,215.132,1.04747,1.6047,1.32889,0.44177,0.41379,0.28719,0.16671,1.42723,3.11928,1.87144,0.000888625,0.000888625,0.000888625
11,234.892,1.01221,1.58086,1.30068,0.42257,0.30947,0.31984,0.17463,1.47079,3.21822,1.85965,0.00087625,0.00087625,0.00087625
12,254.884,1.04575,1.59681,1.29807,0.49761,0.30591,0.33385,0.20109,1.55534,2.85692,1.84476,0.000863875,0.000863875,0.000863875
13,275.798,1.03462,1.51094,1.30273,0.65878,0.34437,0.40788,0.27183,1.32882,2.708,1.57403,0.0008515,0.0008515,0.0008515
14,296.717,1.01077,1.43275,1.26901,0.71266,0.48326,0.54005,0.34266,1.39945,2.22848,1.6184,0.000839125,0.000839125,0.000839125
15,319.29,0.94882,1.36759,1.21966,0.69593,0.5625,0.59185,0.35338,1.45456,2.16848,1.63553,0.00082675,0.00082675,0.00082675
16,342.653,0.97069,1.43716,1.23467,0.54673,0.56061,0.58898,0.36478,1.5191,2.45655,1.69334,0.000814375,0.000814375,0.000814375
17,366.013,0.98553,1.43871,1.24107,0.63404,0.3767,0.5124,0.31055,1.49983,2.35583,1.66511,0.000802,0.000802,0.000802
18,386.623,0.96907,1.30287,1.25863,0.37321,0.4893,0.45466,0.29156,1.45995,2.78716,1.70447,0.000789625,0.000789625,0.000789625
19,408.31,0.9102,1.26885,1.1984,0.51203,0.41002,0.37648,0.23945,1.4836,3.21132,1.79588,0.00077725,0.00077725,0.00077725
